# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 85900  0.57270E-07    79
 86000  0.58314E-07    79
 86100  0.59508E-07    79
 86200  0.62383E-07    79
 86300  0.63316E-07    79
 86400  0.64008E-07    79
 86500  0.63382E-07    79
 86600  0.65626E-07    79
 86700  0.67241E-07    79
 86800  0.68671E-07    79
 86900  0.70198E-07    80
 87000  0.71444E-07    79
 87100  0.72082E-07    80
 87200  0.73319E-07    79
 87300  0.74246E-07    79
 87400  0.72085E-07    80
 87500  0.74021E-07    79
 87600  0.74883E-07    79
 87700  0.74204E-07    80
 87800  0.75943E-07    79
 87900  0.77768E-07    79
 88000  0.80255E-07    80
 88100  0.84805E-07    79
 88200  0.87319E-07    80
 88300  0.87734E-07    80
 88400  0.89403E-07    80
 88500  0.93832E-07    79
 88600  0.93979E-07    79
 88700  0.96627E-07    79
 88800  0.99419E-07    79
 88900  0.10292E-06    79
 89000  0.10975E-06    79
 89100  0.11272E-06    79
 89200  0.11827E-06    79
 89300  0.12244E-06    79
 89400  0.12557E-06    79
 89500  0.13088E-06    79
 89600  0.13415E-06    79
 89700  0.13827E-06    79
 89800  0.14125E-06    79
 89900  0.14267E-06    79
 90000  0.14072E-06    79
 90100  0.14635E-06    79
 90200  0.15171E-06    78
 90300  0.15300E-06    79
 90400  0.15163E-06    79
 90500  0.15644E-06    78
 90600  0.15887E-06    79
 90700  0.16117E-06    78
 90800  0.16248E-06    78
 90900  0.16393E-06    78
 91000  0.16468E-06    79
 91100  0.16429E-06    78
 91200  0.16348E-06    78
 91300  0.16522E-06    78
 91400  0.16056E-06    78
 91500  0.15960E-06    78
 91600  0.16006E-06    78
 91700  0.15909E-06    78
 91800  0.15969E-06    78
 91900  0.15672E-06    78
 92000  0.15202E-06    77
 92100  0.14372E-06    77
 92200  0.14232E-06    77
 92300  0.13667E-06    77
 92400  0.12695E-06    77
 92500  0.12124E-06    76
 92600  0.11762E-06    76
 92700  0.11443E-06    76
 92800  0.10803E-06    76
 92900  0.10576E-06    76
 93000  0.10454E-06    75
 93100  0.10200E-06    75
 93200  0.99512E-07    75
 93300  0.95870E-07    75
 93400  0.96002E-07    75
 93500  0.94852E-07    75
 93600  0.92213E-07    75
 93700  0.90327E-07    75
 93800  0.89416E-07    74
 93900  0.88560E-07    74
 94000  0.87703E-07    74
 94100  0.86873E-07    74
 94200  0.86085E-07    74
 94300  0.85310E-07    74
 94400  0.84666E-07    73
 94500  0.84108E-07    73
 94600  0.82989E-07    73
 94700  0.82191E-07    73
 94800  0.81038E-07    73
 94900  0.80119E-07    73
 95000  0.78901E-07    72
 95100  0.78170E-07    72
 95200  0.77273E-07    72
 95300  0.76197E-07    72
 95400  0.75712E-07    72
 95500  0.75107E-07    72
 95600  0.74665E-07    71
 95700  0.73104E-07    71
 95800  0.74702E-07    71
 95900  0.74377E-07    71
 96000  0.72959E-07    71
 96100  0.72631E-07    70
 96200  0.72197E-07    70
 96300  0.71927E-07    70
 96400  0.72302E-07    70
 96500  0.71836E-07    70
 96600  0.73250E-07    70
 96700  0.73822E-07    69
 96800  0.73748E-07    69
 96900  0.72692E-07    69
 97000  0.72314E-07    69
 97100  0.73009E-07    69
 97200  0.72100E-07    69
 97300  0.71129E-07    69
 97400  0.70716E-07    68
 97500  0.70470E-07    68
 97600  0.71485E-07    68
 97700  0.71664E-07    68
 97800  0.71205E-07    68
 97900  0.71277E-07    68
 98000  0.71442E-07    67
 98100  0.71286E-07    67
 98200  0.71221E-07    67
 98300  0.71140E-07    67
 98400  0.71504E-07    67
 98500  0.71806E-07    66
 98600  0.71726E-07    66
 98700  0.70938E-07    66
 98800  0.70902E-07    66
 98900  0.71436E-07    66
 99000  0.71076E-07    66
 99100  0.70577E-07    65
 99200  0.71915E-07    65
 99300  0.71848E-07    65
 99400  0.71905E-07    65
 99500  0.71854E-07    65
 99600  0.72298E-07    64
 99700  0.72495E-07    64
 99800  0.72490E-07    64
 99900  0.72080E-07    64
100000  0.72246E-07    64
100100  0.72443E-07    64
100200  0.72812E-07    64
100300  0.73056E-07    64
100400  0.73457E-07    63
100500  0.73875E-07    63
100600  0.73823E-07    63
100700  0.73896E-07    63
100800  0.73766E-07    63
100900  0.72456E-07    63
101000  0.73865E-07    62
101100  0.73198E-07    62
101200  0.72971E-07    62
101300  0.72649E-07    62
101400  0.72389E-07    62
101500  0.72270E-07    62
101600  0.71788E-07    62
101700  0.71415E-07    62
101800  0.71200E-07    62
101900  0.71127E-07    61
102000  0.70831E-07    61
102100  0.70726E-07    61
102200  0.70461E-07    61
102300  0.70705E-07    61
102400  0.70073E-07    61
102500  0.69949E-07    61
102600  0.70018E-07    61
102700  0.69334E-07    61
102800  0.69130E-07    61
102900  0.68892E-07    61
103000  0.69296E-07    61
103100  0.69829E-07    60
103200  0.70218E-07    60
103300  0.70592E-07    60
103400  0.70982E-07    60
103500  0.71373E-07    60
103600  0.72685E-07    60
103700  0.73562E-07    60
103800  0.73423E-07    60
103900  0.73073E-07    60
104000  0.72317E-07    60
104100  0.72046E-07    60
104200  0.72278E-07    60
104300  0.72087E-07    60
104400  0.71750E-07    60
104500  0.71510E-07    59
104600  0.71741E-07    59
104700  0.71809E-07    60
104800  0.70572E-07    60
104900  0.71653E-07    59
105000  0.72506E-07    59
105100  0.72739E-07    59
105200  0.73168E-07    59
105300  0.74025E-07    59
105400  0.74588E-07    59
105500  0.75053E-07    59
105600  0.74565E-07    59
105700  0.74141E-07    59
105800  0.74245E-07    59
105900  0.74183E-07    59
106000  0.73972E-07    59
106100  0.73926E-07    59
106200  0.73715E-07    59
106300  0.73470E-07    59
106400  0.74102E-07    59
106500  0.73658E-07    59
106600  0.73196E-07    59
106700  0.72865E-07    59
106800  0.72701E-07    58
106900  0.72319E-07    58
107000  0.72071E-07    58
107100  0.71738E-07    58
107200  0.71337E-07    58
107300  0.71303E-07    58
107400  0.71387E-07    58
107500  0.71470E-07    58
107600  0.70866E-07    58
107700  0.70378E-07    58
107800  0.71048E-07    58
107900  0.71114E-07    58
108000  0.70978E-07    58
108100  0.70741E-07    58
108200  0.70638E-07    58
108300  0.69893E-07    58
108400  0.70127E-07    58
108500  0.70648E-07    58
108600  0.71102E-07    58
108700  0.71235E-07    58
108800  0.71114E-07    58
108900  0.71230E-07    58
109000  0.71432E-07    58
109100  0.72669E-07    58
109200  0.73229E-07    58
109300  0.73603E-07    58
109400  0.74317E-07    58
109500  0.75238E-07    58
109600  0.76058E-07    58
109700  0.76930E-07    58
109800  0.77889E-07    58
109900  0.79158E-07    58
110000  0.81029E-07    58
110100  0.83143E-07    58
110200  0.85278E-07    58
110300  0.87400E-07    58
110400  0.91072E-07    58
110500  0.95560E-07    59
110600  0.10037E-06    59
110700  0.10599E-06    59
110800  0.11218E-06    59
110900  0.12026E-06    59
111000  0.12932E-06    60
111100  0.82307E-07    99
111200  0.74501E-07    89
111300  0.66699E-07    80
111400  0.57286E-07    77
111500  0.51260E-07    73
111600  0.45918E-07    69
111700  0.41349E-07    67
111800  0.36773E-07    65
111900  0.33041E-07    64
112000  0.30524E-07    62
112100  0.28177E-07    61
112200  0.26088E-07    60
112300  0.24345E-07    60
112400  0.23124E-07    59
112500  0.21778E-07    59
112600  0.20657E-07    59
112700  0.19359E-07    59
112800  0.18709E-07    59
112900  0.18550E-07    58
113000  0.18073E-07    58
113100  0.17667E-07    58
113200  0.16989E-07    58
113300  0.16895E-07    58
113400  0.16857E-07    58
113500  0.17020E-07    58
113600  0.17106E-07    58
113700  0.17091E-07    58
113800  0.16881E-07    58
113900  0.17259E-07    58
114000  0.17596E-07    58
114100  0.17750E-07    59
114200  0.18087E-07    58
114300  0.18263E-07    59
114400  0.18600E-07    58
114500  0.18759E-07    59
114600  0.19168E-07    58
114700  0.19596E-07    58
114800  0.19791E-07    58
114900  0.19988E-07    59
115000  0.20345E-07    59
115100  0.20811E-07    59
115200  0.21206E-07    59
115300  0.21548E-07    59
115400  0.21728E-07    59
115500  0.22125E-07    59
115600  0.22342E-07    59
115700  0.22541E-07    59
115800  0.23102E-07    59
115900  0.23429E-07    59
116000  0.23774E-07    59
116100  0.24138E-07    59
116200  0.24575E-07    59
116300  0.25103E-07    59
116400  0.25379E-07    59
116500  0.25963E-07    59
116600  0.26657E-07    59
116700  0.27152E-07    59
116800  0.27758E-07    59
116900  0.28291E-07    59
117000  0.28917E-07    59
117100  0.29616E-07    59
117200  0.30335E-07    59
117300  0.30927E-07    59
117400  0.31356E-07    59
117500  0.32078E-07    59
117600  0.32746E-07    59
117700  0.33141E-07    59
117800  0.33719E-07    59
117900  0.34464E-07    59
118000  0.35192E-07    59
118100  0.36251E-07    59
118200  0.36890E-07    60
118300  0.37731E-07    59
118400  0.38538E-07    59
118500  0.39290E-07    60
118600  0.39933E-07    59
118700  0.40336E-07    60
118800  0.41517E-07    60
118900  0.42756E-07    60
119000  0.43459E-07    60
119100  0.44107E-07    60
119200  0.44906E-07    60
119300  0.45389E-07    60
119400  0.45297E-07    60
119500  0.45912E-07    60
119600  0.46546E-07    60
119700  0.47163E-07    60
119800  0.47613E-07    60
119900  0.48250E-07    60
120000  0.48720E-07    60
120100  0.49958E-07    60
120200  0.50299E-07    60
120300  0.50341E-07    60
120400  0.49295E-07    60
120500  0.49580E-07    60
120600  0.49678E-07    60
120700  0.49963E-07    60
120800  0.50230E-07    60
120900  0.50479E-07    60
121000  0.50690E-07    60
121100  0.50883E-07    60
121200  0.50887E-07    60
121300  0.51099E-07    60
121400  0.51312E-07    60
121500  0.51543E-07    60
121600  0.51775E-07    60
121700  0.53353E-07    60
121800  0.53738E-07    60
121900  0.53649E-07    60
122000  0.52743E-07    60
122100  0.53186E-07    60
122200  0.53401E-07    60
122300  0.54492E-07    60
122400  0.54765E-07    60
122500  0.54696E-07    60
122600  0.54549E-07    60
122700  0.54364E-07    61
122800  0.54064E-07    60
122900  0.53553E-07    61
123000  0.52333E-07    61
123100  0.51973E-07    61
123200  0.51804E-07    61
123300  0.51462E-07    61
123400  0.52234E-07    61
123500  0.51988E-07    60
123600  0.51298E-07    60
123700  0.49529E-07    61
123800  0.49029E-07    61
123900  0.48509E-07    61
124000  0.47988E-07    61
124100  0.48124E-07    61
124200  0.47892E-07    60
124300  0.47311E-07    60
124400  0.46303E-07    61
124500  0.45467E-07    61
124600  0.44941E-07    61
124700  0.44977E-07    60
124800  0.44469E-07    61
124900  0.43785E-07    61
125000  0.43197E-07    61
125100  0.42297E-07    61
125200  0.40693E-07    61
