# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
0.2325, 53.26, 1.20, 8.75e-2
1.532, 282.3, 1193.98, 87.40
0.2335, 44.74, 1.24, 9.11e-2
1.534, 278.4, 1194.54, 87.44
0.2345, 38.97, 1.29, 9.41e-2
1.536, 280.6, 1195.10, 87.48
0.2355, 51.42, 1.33, 9.74e-2
1.538, 277.3, 1195.66, 87.52
0.2365, 48.59, 1.38, 0.101
1.540, 273.0, 1196.21, 87.56
0.2375, 48.44, 1.43, 0.105
1.542, 275.3, 1196.76, 87.60
0.2385, 41.96, 1.47, 0.108
1.544, 277.8, 1197.31, 87.64
0.2395, 44.12, 1.52, 0.111
1.546, 277.2, 1197.87, 87.69
0.2405, 39.56, 1.56, 0.114
1.548, 271.1, 1198.41, 87.73
0.2415, 51.48, 1.61, 0.118
1.550, 271.3, 1198.96, 87.76
0.2425, 70.60, 1.67, 0.122
1.552, 273.1, 1199.50, 87.80
0.2435, 66.53, 1.73, 0.127
1.554, 267.6, 1200.04, 87.84
0.2445, 60.97, 1.80, 0.132
1.556, 267.1, 1200.58, 87.88
0.2455, 49.39, 1.85, 0.136
1.558, 268.9, 1201.11, 87.92
0.2465, 50.40, 1.90, 0.139
1.560, 268.3, 1201.65, 87.96
0.2475, 55.50, 1.96, 0.143
1.562, 269.7, 1202.19, 88.00
0.2485, 45.65, 2.01, 0.147
1.564, 266.9, 1202.73, 88.04
0.2495, 56.38, 2.06, 0.151
1.566, 265.4, 1203.26, 88.08
0.2505, 60.10, 2.12, 0.155
1.568, 263.3, 1203.79, 88.12
0.2515, 46.01, 2.17, 0.159
1.570, 264.5, 1204.31, 88.16
0.2525, 41.55, 2.21, 0.162
1.572, 267.3, 1204.85, 88.20
0.2535, 51.55, 2.26, 0.165
1.575, 261.0, 1205.37, 88.23
0.2545, 59.57, 2.32, 0.169
1.576, 253.6, 1205.89, 88.27
0.2555, 79.30, 2.38, 0.175
1.578, 254.7, 1206.40, 88.31
0.2565, 101.8, 2.48, 0.181
1.580, 265.0, 1206.92, 88.35
0.2575, 125.4, 2.59, 0.190
1.582, 259.0, 1207.44, 88.39
0.2585, 125.1, 2.71, 0.199
1.584, 259.1, 1207.96, 88.42
0.2595, 104.0, 2.83, 0.207
1.586, 259.9, 1208.48, 88.46
0.2605, 88.51, 2.92, 0.214
1.588, 249.0, 1208.99, 88.50
0.2615, 89.80, 3.01, 0.220
1.590, 240.5, 1209.48, 88.53
0.2625, 103.6, 3.11, 0.228
1.592, 252.6, 1209.97, 88.57
0.2635, 165.8, 3.24, 0.237
1.594, 258.3, 1210.48, 88.61
0.2645, 249.7, 3.45, 0.253
1.596, 250.6, 1210.99, 88.65
0.2655, 252.7, 3.70, 0.271
1.598, 254.5, 1211.49, 88.68
0.2665, 249.4, 3.95, 0.289
1.600, 251.2, 1212.00, 88.72
0.2675, 250.8, 4.20, 0.308
1.602, 248.9, 1212.50, 88.76
0.2685, 243.8, 4.45, 0.326
1.604, 249.7, 1213.00, 88.79
0.2695, 238.9, 4.69, 0.343
1.606, 247.7, 1213.50, 88.83
0.2705, 267.3, 4.94, 0.362
1.608, 249.1, 1213.99, 88.87
0.2715, 224.4, 5.19, 0.380
1.610, 240.0, 1214.48, 88.90
0.2725, 197.4, 5.40, 0.395
1.612, 243.0, 1214.96, 88.94
0.2735, 196.5, 5.60, 0.410
1.614, 244.9, 1215.45, 88.97
0.2745, 132.6, 5.76, 0.422
1.616, 237.4, 1215.93, 89.01
0.2755, 175.1, 5.92, 0.433
1.618, 242.3, 1216.41, 89.04
0.2765, 242.8, 6.13, 0.448
1.620, 236.9, 1216.89, 89.08
